municipio_id,base_asignada_id,tiempo_minutos,id_mun,municipio,poblacion,lat_muni,lon_muni,id_base,helipuerto_nombre,lat_heli,lon_heli,distancia_km
5193,37294,17.924647211382293,5193,RASUEROS,160,41.023092,-5.074918,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,65.72370644173508
5197,5057,14.291926865503356,5197,SALOBRAL,102,40.611407,-4.810891,5057,Base CEBREROS,40.454779,-4.464399,52.40373184017897
5198,37294,17.45609196509158,5198,SALVADIÓS,71,40.876831,-5.096168,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,64.00567053866914
5199,37294,21.434440966567678,5199,SAN BARTOLOMÉ DE BÉJAR,49,40.408286,-5.662693,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,78.59295021074816
5210,5057,19.25635946724907,5210,SAN JUAN DE LA ENCINILLA,70,40.828819,-4.839691,5057,Base CEBREROS,40.454779,-4.464399,70.60665137991325
5211,5057,10.115599958954771,5211,SAN JUAN DE LA NAVA,426,40.478247,-4.683971,5057,Base CEBREROS,40.454779,-4.464399,37.090533182834164
5219,5057,19.606341800967364,5219,SAN PASCUAL,45,40.882395,-4.756622,5057,Base CEBREROS,40.454779,-4.464399,71.88991993688033
5231,40194,20.47729019415771,5231,SAN VICENTE DE ARÉVALO,165,40.967983,-4.800637,40194,Base SEGOVIA,40.94987,-4.125241,75.08339737857827
5221,5057,18.906780056729136,5221,SANTA CRUZ DEL VALLE,304,40.250843,-5.003373,5057,Base CEBREROS,40.454779,-4.464399,69.32486020800684
5233,5057,15.915894077859207,5233,SERRANILLOS,252,40.337343,-4.911176,5057,Base CEBREROS,40.454779,-4.464399,58.35827828548376
5234,5057,20.010372220822177,5234,SIGERES,41,40.799321,-4.932627,5057,Base CEBREROS,40.454779,-4.464399,73.37136480968131
5235,47175,21.406001569548657,5235,SINLABAJOS,135,41.077176,-4.831955,47175,Base TUDELA DE DUERO,41.584008,-4.58001,78.48867242167842
5238,5057,15.623790226784516,5238,SOLOSANCHO,758,40.554221,-4.906181,5057,Base CEBREROS,40.454779,-4.464399,57.287230831543226
5245,5057,11.24555526448223,5245,TORNADIZOS DE ÁVILA,465,40.626366,-4.614274,5057,Base CEBREROS,40.454779,-4.464399,41.23370263643484
5251,37294,20.578661850347107,5251,VADILLO DE LA SIERRA,51,40.606284,-5.126526,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,75.45509345127272
5253,40194,17.16527795772491,5253,VEGA DE SANTA MARÍA,86,40.836272,-4.634191,40194,Base SEGOVIA,40.94987,-4.125241,62.93935251165801
5259,40194,21.8886700873688,5259,VILLANUEVA DEL ACERAL,92,41.041601,-4.853025,40194,Base SEGOVIA,40.94987,-4.125241,80.25845698701893
5260,37294,20.303877868032668,5260,VILLANUEVA DEL CAMPILLO,101,40.578337,-5.179902,37294,Base SANTA MARTA DE TORMES,40.949683,-5.631074,74.44755218278645
5263,5057,20.21683782044856,5263,VILLATORO,161,40.555342,-5.110942,5057,Base CEBREROS,40.454779,-4.464399,74.12840534164472
5264,5057,20.960376342278824,5264,VIÑEGRA DE MORAÑA,48,40.851549,-4.920169,5057,Base CEBREROS,40.454779,-4.464399,76.85471325502235
9001,9059,13.98302407226902,9001,ABAJAS,28,42.623249,-3.581763,9059,Base BURGOS,42.34113,-3.704198,51.27108826498641
9003,47175,22.170636340171587,9003,ADRADA DE HAZA,205,41.594223,-3.823097,47175,Base TUDELA DE DUERO,41.584008,-4.58001,81.29233324729582
9006,9059,17.24904975210801,9006,AGUAS CÁNDIDAS,59,42.717274,-3.504476,9059,Base BURGOS,42.34113,-3.704198,63.24651575772938
9011,9059,22.424813777224497,9011,ALFOZ DE BRICIA,68,42.906017,-3.847067,9059,Base BURGOS,42.34113,-3.704198,82.22431718315649
9019,9059,24.313906407083035,9019,ARANDILLA,155,41.737684,-3.430006,9059,Base BURGOS,42.34113,-3.704198,89.15099015930446
9020,9059,21.238629487955247,9020,ARAUZO DE MIEL,274,41.85988,-3.38775,9059,Base BURGOS,42.34113,-3.704198,77.87497478916924
9026,9059,10.541059831313847,9026,ARLANZÓN,424,42.32029,-3.458652,9059,Base BURGOS,42.34113,-3.704198,38.65055271481744
9038,9059,17.00054476736807,9038,BARBADILLO DEL MERCADO,134,42.039213,-3.358933,9059,Base BURGOS,42.34113,-3.704198,62.335330813682916
9041,9059,13.488290702579421,9041,BARRIO DE MUÑÓ,32,42.174503,-4.008068,9059,Base BURGOS,42.34113,-3.704198,49.45706590945788
9047,9059,13.68100631055015,9047,BELBIMBRE,54,42.168607,-4.012817,9059,Base BURGOS,42.34113,-3.704198,50.16368980535055
9051,47175,21.34350150997214,9051,BERLANGAS DE ROA,203,41.689249,-3.872793,47175,Base TUDELA DE DUERO,41.584008,-4.58001,78.2595055365645
9052,9059,18.078403134332095,9052,BERZOSA DE BUREBA,26,42.627,-3.266343,9059,Base BURGOS,42.34113,-3.704198,66.28747815921768
9057,9059,22.979883636938016,9057,BUGEDO,189,42.649938,-3.017774,9059,Base BURGOS,42.34113,-3.704198,84.2595733354394
9059,9059,5.0,9059,BURGOS,175895,42.34113,-3.704198,9059,Base BURGOS,42.34113,-3.704198,18.333333333333332
