cod_ine,municipio,provincia,poblacion,latitud,longitud
9176,HURONES,BURGOS,53,42.406304,-3.61354
9178,IBRILLOS,BURGOS,29,42.454031,-3.083395
9181,ISAR,BURGOS,284,42.361594,-3.929085
9184,JARAMILLO QUEMADO,BURGOS,10,42.084241,-3.360395
9191,JURISDICCIÓN DE LARA,BURGOS,41,42.123126,-3.444394
9192,JURISDICCIÓN DE SAN ZADORNIL,BURGOS,66,42.841597,-3.156766
9117,LA CUEVA DE ROA,BURGOS,89,41.666377,-3.941951
9166,LAS HORMAZAS,BURGOS,99,42.525501,-3.929074
9034,LOS BALBASES,BURGOS,302,42.214528,-4.06383
9197,MADRIGALEJO DEL MONTE,BURGOS,176,42.125296,-3.726002
9201,MAMOLAR,BURGOS,28,41.926617,-3.36192
9209,MEDINA DE POMAR,BURGOS,5997,42.928523,-3.487503
9215,MERINDAD DE SOTOSCUEVA,BURGOS,412,43.028253,-3.626808
9216,MERINDAD DE VALDEPORRES,BURGOS,421,43.010256,-3.743813
9221,MODÚBAR DE LA EMPAREDADA,BURGOS,769,42.257843,-3.659977
9224,MONASTERIO DE RODILLA,BURGOS,169,42.455805,-3.46752
9228,MORADILLO DE ROA,BURGOS,170,41.552478,-3.791749
9231,NEBREDA,BURGOS,55,41.968922,-3.634746
9232,NEILA,BURGOS,119,42.060263,-2.996471
9235,OLMEDILLO DE ROA,BURGOS,179,41.783569,-3.933638
9238,OÑA,BURGOS,951,42.734305,-3.411769
9243,PADILLA DE ARRIBA,BURGOS,92,42.437948,-4.193441
9244,PADRONES DE BUREBA,BURGOS,60,42.70499,-3.532461
9246,PALACIOS DE LA SIERRA,BURGOS,675,41.96382,-3.127111
9248,PALAZUELOS DE LA SIERRA,BURGOS,93,42.21313,-3.459561
9250,PAMPLIEGA,BURGOS,291,42.206199,-3.987979
9251,PANCORBO,BURGOS,437,42.635028,-3.109856
9255,PARTIDO DE LA SIERRA EN TOBALINA,BURGOS,81,42.73341,-3.254787
9258,PEDROSA DEL PRÍNCIPE,BURGOS,163,42.247876,-4.198337
9262,PERAL DE ARLANZA,BURGOS,170,42.075937,-4.076622
9265,PIÉRNIGAS,BURGOS,39,42.590209,-3.41326
9267,PINEDA TRASMONTE,BURGOS,98,41.90976,-3.69633
9269,PINILLA DE LOS MOROS,BURGOS,33,42.068124,-3.328876
9287,QUINTANAORTUÑO,BURGOS,284,42.44962,-3.681175
9288,QUINTANAPALLA,BURGOS,120,42.408823,-3.534863
9294,QUINTANILLA DE LA MATA,BURGOS,108,41.988344,-3.768689
9901,QUINTANILLA DEL AGUA Y TORDUELES,BURGOS,335,42.033419,-3.65247
9295,QUINTANILLA DEL COCO,BURGOS,50,41.978721,-3.515754
9298,QUINTANILLA SAN GARCÍA,BURGOS,68,42.548055,-3.194684
9301,QUINTANILLA VIVAR,BURGOS,885,42.412061,-3.684864
9306,REBOLLEDO DE LA TORRE,BURGOS,92,42.689305,-4.226927
9307,REDECILLA DEL CAMINO,BURGOS,93,42.438282,-3.065136
9310,REINOSO,BURGOS,18,42.508835,-3.384181
9314,REVILLA DEL CAMPO,BURGOS,94,42.211673,-3.536178
9316,REVILLA VALLEJERA,BURGOS,115,42.146759,-4.134099
9315,REVILLARRUZ,BURGOS,634,42.231556,-3.653293
9317,REZMONDO,BURGOS,17,42.515598,-4.238133
9326,RUBENA,BURGOS,217,42.388387,-3.574331
9328,RUCANDIO,BURGOS,72,42.750873,-3.542017
9329,SALAS DE BUREBA,BURGOS,129,42.69219,-3.473753
9332,SALDAÑA DE BURGOS,BURGOS,201,42.2575,-3.683263
9334,SALINILLAS DE BUREBA,BURGOS,48,42.552895,-3.388483
9335,SAN ADRIÁN DE JUARROS,BURGOS,86,42.273855,-3.47607
9339,SAN MARTÍN DE RUBIALES,BURGOS,139,41.642611,-3.993141
9347,SANTA GADEA DEL CID,BURGOS,161,42.715135,-3.058201
9352,SANTA MARÍA DEL MERCADILLO,BURGOS,108,41.860028,-3.559958
9354,SANTA OLALLA DE BUREBA,BURGOS,38,42.471741,-3.438989
9355,SANTIBÁÑEZ DE ESGUEVA,BURGOS,77,41.834394,-3.758538
9356,SANTIBÁÑEZ DEL VAL,BURGOS,70,41.973287,-3.48107
9358,SANTO DOMINGO DE SILOS,BURGOS,247,41.962906,-3.417637
9388,TORRELARA,BURGOS,32,42.166056,-3.516423
9394,TRESPADERNE,BURGOS,713,42.801694,-3.390812
9395,TUBILLA DEL AGUA,BURGOS,128,42.708913,-3.802365
9908,VALLE DE LOSA,BURGOS,496,42.992749,-3.244623
9410,VALLE DE MENA,BURGOS,4140,43.099086,-3.280765
9413,VALLE DE VALDEBEZANA,BURGOS,482,42.970758,-3.787362
9419,VALLUÉRCANES,BURGOS,63,42.572425,-3.121932
9432,VILLAFRUELA,BURGOS,143,41.91857,-3.912587
9433,VILLAGALIJO,BURGOS,52,42.34853,-3.192527
9434,VILLAGONZALO PEDERNALES,BURGOS,1882,42.30039,-3.738017
9441,VILLALDEMIRO,BURGOS,91,42.246294,-3.985877
9442,VILLALMANZO,BURGOS,410,42.047726,-3.743848
9445,VILLAMBISTIA,BURGOS,43,42.404908,-3.261358
9446,VILLAMEDIANILLA,BURGOS,9,42.161056,-4.145551
9447,VILLAMIEL DE LA SIERRA,BURGOS,43,42.19302,-3.419146
9448,VILLANGÓMEZ,BURGOS,232,42.180829,-3.772953
9451,VILLANUEVA DE GUMIEL,BURGOS,279,41.737686,-3.626503
9455,VILLAQUIRÁN DE LA PUEBLA,BURGOS,46,42.282949,-4.09985
9460,VILLASANDINO,BURGOS,178,42.371715,-4.107775
9464,VILLATUELDA,BURGOS,53,41.81582,-3.881429
9476,VILLORUEBO,BURGOS,63,42.167281,-3.438346
9425,VILVIESTRE DEL PINAR,BURGOS,504,41.951474,-3.084677
9480,ZAEL,BURGOS,115,42.10978,-3.823192
9485,ZUÑEDA,BURGOS,57,42.604988,-3.225447
24007,ARGANZA,LEÓN,805,42.640782,-6.683975
24016,BENUZA,LEÓN,442,42.401711,-6.707616
24017,BERCIANOS DEL PÁRAMO,LEÓN,522,42.380566,-5.704029
24019,BERLANGA DEL BIERZO,LEÓN,322,42.730454,-6.60429
24021,BOÑAR,LEÓN,1766,42.865954,-5.321774
24023,BRAZUELO,LEÓN,312,42.497704,-6.156993
24025,BURÓN,LEÓN,288,43.021598,-5.045978
24033,CAMPO DE VILLAVIDEL,LEÓN,205,42.438815,-5.52721
24037,CÁRMENES,LEÓN,333,42.959636,-5.572945
24039,CARRIZO,LEÓN,2222,42.584614,-5.831037
24043,CASTRILLO DE CABRERA,LEÓN,102,42.339982,-6.544534
24044,CASTRILLO DE LA VALDUERNA,LEÓN,143,42.323961,-6.133771
24047,CASTROCONTRIGO,LEÓN,669,42.18237,-6.191031
24049,CASTROPODAME,LEÓN,1574,42.579123,-6.468144
24052,CEBANICO,LEÓN,143,42.725275,-5.023997
24054,CIMANES DE LA VEGA,LEÓN,435,42.116628,-5.598426
24059,CORULLÓN,LEÓN,819,42.578058,-6.819351
24064,CUBILLOS DEL SIL,LEÓN,1719,42.624618,-6.564946
24024,EL BURGO RANERO,LEÓN,690,42.42265,-5.22087
24073,FRESNO DE LA VEGA,LEÓN,477,42.344061,-5.536156
24077,GORDALIZA DEL PINO,LEÓN,239,42.343529,-5.157627
24084,IZAGRE,LEÓN,137,42.223991,-5.257511
24005,LA ANTIGUA,LEÓN,328,42.179356,-5.689986
24134,LA ROBLA,LEÓN,3605,42.802148,-5.628162
24193,LA VECILLA,LEÓN,378,42.848677,-5.406181
24089,LEÓN,LEÓN,122243,42.599121,-5.567076
24092,LLAMAS DE LA RIBERA,LEÓN,791,42.635631,-5.825422
24093,MAGAZ DE CEPEDA,LEÓN,349,42.5396,-6.072041
24097,MATADEÓN DE LOS OTEROS,LEÓN,221,42.337725,-5.369366
24098,MATALLANA DE TORÍO,LEÓN,1228,42.866262,-5.520096
24099,MATANZA,LEÓN,172,42.239435,-5.375621
24105,ONZONILLA,LEÓN,1942,42.525428,-5.580492
24106,OSEJA DE SAJAMBRE,LEÓN,226,43.135642,-5.038465
24112,PERANZANES,LEÓN,271,42.87664,-6.632311
24113,POBLADURA DE PELAYO GARCÍA,LEÓN,354,42.305983,-5.685669
24127,REGUERAS DE ARRIBA,LEÓN,264,42.292346,-5.862175
24129,REYERO,LEÓN,128,42.947642,-5.197975
24132,RIELLO,LEÓN,582,42.773053,-5.944726
24133,RIOSECO DE TAPIA,LEÓN,399,42.729895,-5.789392
24141,SAN ADRIÁN DEL VALLE,LEÓN,84,42.130013,-5.727819
24145,SAN EMILIANO,LEÓN,596,42.972437,-6.001644
24148,SAN JUSTO DE LA VEGA,LEÓN,1775,42.452563,-6.015991
24151,SANTA COLOMBA DE CURUEÑO,LEÓN,507,42.751252,-5.412183
24152,SANTA COLOMBA DE SOMOZA,LEÓN,494,42.442617,-6.242525
24155,SANTA MARÍA DE LA ISLA,LEÓN,443,42.356232,-5.92833
24156,SANTA MARÍA DEL MONTE DE CEA,LEÓN,325,42.49171,-5.116839
24157,SANTA MARÍA DEL PÁRAMO,LEÓN,209,42.353555,-5.749249
24163,SARIEGOS,LEÓN,5444,42.647374,-5.631149
24164,SENA DE LUNA,LEÓN,390,42.92974,-5.953164
24171,TRABADELO,LEÓN,319,42.650123,-6.883079
24172,TRUCHAS,LEÓN,392,42.260939,-6.434608
24036,VALLE DE ANCARES,LEÓN,275,42.815549,-6.72821
24197,VEGA DE INFANZONES,LEÓN,839,42.480981,-5.534381
24194,VEGACERVERA,LEÓN,258,42.884395,-5.534916
24203,VILLABRAZ,LEÓN,95,42.246274,-5.444359
24205,VILLADANGOS DEL PÁRAMO,LEÓN,1235,42.516673,-5.766495
24211,VILLAMANDOS,LEÓN,277,42.179336,-5.593124
24219,VILLAOBISPO DE OTERO,LEÓN,518,42.499988,-6.058563
24221,VILLAQUEJIDA,LEÓN,803,42.146401,-5.596014
24227,VILLATURIEL,LEÓN,1838,42.518526,-5.485379
24228,VILLAZALA,LEÓN,596,42.361205,-5.856193
24229,VILLAZANZO DE VALDERADUEY,LEÓN,368,42.534941,-4.964871
34009,AMAYUELAS DE ARRIBA,PALENCIA,38,42.211614,-4.48935
34019,AUTILLO DE CAMPOS,PALENCIA,130,42.088253,-4.831322
34031,BELMONTE DE CAMPOS,PALENCIA,30,41.94158,-4.990162
34032,BERZOSILLA,PALENCIA,47,42.781671,-4.036848
34033,BOADA DE CAMPOS,PALENCIA,16,41.988383,-4.876984
34035,BOADILLA DE RIOSECO,PALENCIA,114,42.178273,-4.968525
34038,BUSTILLO DE LA VEGA,PALENCIA,269,42.45662,-4.738633
34042,CALZADA DE LOS MOLINOS,PALENCIA,305,42.327402,-4.650003
34047,CARRIÓN DE LOS CONDES,PALENCIA,1999,42.340728,-4.604464
34048,CASTIL DE VELA,PALENCIA,55,41.982808,-4.960472
34051,CASTRILLO DE ONIELO,PALENCIA,91,41.85775,-4.302176
34052,CASTRILLO DE VILLAVEGA,PALENCIA,168,42.454296,-4.479982
34057,CEVICO DE LA TORRE,PALENCIA,475,41.85242,-4.410293
34059,CISNEROS,PALENCIA,430,42.220544,-4.856928
34063,CORDOVILLA LA REAL,PALENCIA,129,42.080812,-4.258792
34066,CUBILLAS DE CERRATO,PALENCIA,64,41.799297,-4.467253
34069,DUEÑAS,PALENCIA,2587,41.877928,-4.545298
34070,ESPINOSA DE CERRATO,PALENCIA,124,41.968251,-3.951588
34074,FRÓMISTA,PALENCIA,748,42.267743,-4.402568
34077,FUENTES DE VALDEPERO,PALENCIA,484,42.071408,-4.500232
34079,GRIJOTA,PALENCIA,2789,42.053985,-4.581755
34082,HÉRMEDES DE CERRATO,PALENCIA,74,41.81977,-4.177704
34084,HERRERA DE VALDECAÑAS,PALENCIA,158,42.048296,-4.19941
34088,HUSILLOS,PALENCIA,393,42.090418,-4.52704
34089,ITERO DE LA VEGA,PALENCIA,144,42.286549,-4.25877
